n_elements,n_sources,snr_db,n_trials,rmse_deg,p50_deg,p90_deg,p99_deg,detection_rate,det_ci_lo,det_ci_hi
4,1,-15,1000,5.40021,4.5085,8.72728,9.81501,0.313,0.285,0.3424
4,1,-14,1000,5.18332,4.2284,8.3302,9.85994,0.416,0.3858,0.4468
4,1,-13,1000,5.0703,4.1493,8.4184,9.76821,0.466,0.4353,0.497
4,1,-12,1000,5.07486,4.0431,8.22282,9.81902,0.565,0.5341,0.5954
4,1,-11,1000,4.93568,3.5179,8.27,9.79895,0.703,0.6739,0.7305
4,1,-10,1000,4.35503,3.05025,7.43281,9.77857,0.792,0.7657,0.816
4,1,-9,1000,4.18121,2.80945,7.29604,9.50809,0.868,0.8456,0.8876
4,1,-8,1000,3.65506,2.3062,6.32821,9.39184,0.934,0.9169,0.9478
4,1,-7,1000,3.0813,2.0335,5.09119,8.04261,0.954,0.9392,0.9653
4,1,-6,1000,2.91506,1.7322,5.00348,8.49117,0.975,0.9634,0.983
4,1,-5,1000,2.48697,1.4322,4.12071,7.51062,0.982,0.9717,0.9886
4,1,-4,1000,2.35066,1.2395,3.74236,8.10216,0.985,0.9754,0.9909
4,1,-3,1000,1.90917,1.07175,2.88207,6.49304,0.99,0.9817,0.9946
4,1,-2,1000,1.72479,0.9556,2.6628,5.84457,0.991,0.983,0.9953
4,1,-1,1000,1.51671,0.7885,2.35132,4.78898,0.997,0.9912,0.999
4,1,0,1000,1.29424,0.6221,1.96866,4.45497,0.997,0.9912,0.999
4,1,1,1000,1.25057,0.637,1.88718,4.44044,0.999,0.9944,0.9998
4,1,2,1000,1.0244,0.51355,1.49037,3.55989,1.0,0.9962,1.0
4,1,3,1000,0.96267,0.47305,1.42194,3.43681,1.0,0.9962,1.0
4,1,4,1000,0.82224,0.40015,1.29368,2.89571,1.0,0.9962,1.0
4,1,5,1000,0.71795,0.37345,1.0204,2.63884,1.0,0.9962,1.0
4,1,6,1000,0.64805,0.2941,0.96806,2.29763,1.0,0.9962,1.0
4,1,7,1000,0.59286,0.25915,0.8394,2.16754,1.0,0.9962,1.0
4,1,8,1000,0.49023,0.24815,0.7256,1.72194,1.0,0.9962,1.0
4,1,9,1000,0.42594,0.20905,0.61476,1.65072,1.0,0.9962,1.0
4,1,10,1000,0.40477,0.1893,0.5831,1.62404,1.0,0.9962,1.0
4,1,11,1000,0.34308,0.17765,0.51519,1.26871,1.0,0.9962,1.0
4,1,12,1000,0.31364,0.1547,0.50039,1.0735,1.0,0.9962,1.0
4,1,13,1000,0.29513,0.1413,0.40536,1.03063,1.0,0.9962,1.0
4,1,14,1000,0.24499,0.11825,0.35281,0.92152,1.0,0.9962,1.0
4,1,15,1000,0.22118,0.1032,0.34753,0.78734,1.0,0.9962,1.0
4,1,16,1000,0.18807,0.0881,0.27284,0.65735,1.0,0.9962,1.0
4,1,17,1000,0.1694,0.0862,0.26403,0.56992,1.0,0.9962,1.0
4,1,18,1000,0.15609,0.07795,0.23749,0.59462,1.0,0.9962,1.0
4,1,19,1000,0.13057,0.0642,0.19604,0.46893,1.0,0.9962,1.0
4,1,20,1000,0.12278,0.05825,0.17614,0.4426,1.0,0.9962,1.0
4,1,21,1000,0.11708,0.05295,0.17356,0.38681,1.0,0.9962,1.0
4,1,22,1000,0.09704,0.04935,0.14831,0.34914,1.0,0.9962,1.0
4,1,23,1000,0.08056,0.03965,0.12334,0.29945,1.0,0.9962,1.0
4,1,24,1000,0.07222,0.03885,0.10844,0.23158,1.0,0.9962,1.0
4,1,25,1000,0.07011,0.03265,0.10264,0.25123,1.0,0.9962,1.0
4,1,26,1000,0.06259,0.0309,0.08842,0.2398,1.0,0.9962,1.0
4,1,27,1000,0.05191,0.02435,0.07063,0.19182,1.0,0.9962,1.0
4,1,28,1000,0.04835,0.0228,0.07386,0.18792,1.0,0.9962,1.0
4,1,29,1000,0.0452,0.02065,0.06334,0.17594,1.0,0.9962,1.0
4,1,30,1000,0.039,0.0201,0.05976,0.12681,1.0,0.9962,1.0
4,2,-15,1000,5.37783,4.24585,8.69808,9.89744,0.39,0.3602,0.4206
4,2,-14,1000,5.38443,4.2661,8.8483,9.78046,0.436,0.4056,0.4669
4,2,-13,1000,5.2765,4.1192,8.5627,9.84235,0.551,0.52,0.5816
4,2,-12,1000,4.93104,3.60635,8.2137,9.8521,0.586,0.5552,0.6161
4,2,-11,1000,4.91342,3.7709,8.21268,9.88729,0.625,0.5946,0.6545
4,2,-10,1000,4.84212,3.5469,8.20421,9.64912,0.71,0.6811,0.7373
4,2,-9,1000,4.28936,2.8799,7.44105,9.77466,0.79,0.7637,0.8141
4,2,-8,1000,3.88602,2.4389,6.74136,9.59416,0.837,0.8128,0.8586
4,2,-7,1000,3.63425,2.241,6.3571,9.55996,0.868,0.8456,0.8876
4,2,-6,1000,3.2762,1.8152,5.71034,8.74618,0.889,0.868,0.907
4,2,-5,1000,3.03041,1.57035,5.21258,9.16848,0.912,0.8928,0.928
4,2,-4,1000,2.78047,1.4346,4.68002,8.62344,0.917,0.8983,0.9325
4,2,-3,1000,2.61362,1.1518,4.49124,8.71835,0.937,0.9202,0.9505
4,2,-2,1000,2.45929,0.99925,4.21117,8.72054,0.954,0.9392,0.9653
4,2,-1,1000,2.26268,0.8942,3.5922,8.36188,0.949,0.9336,0.961
4,2,0,1000,1.96134,0.8369,2.85642,7.84983,0.963,0.9494,0.973
4,2,1,1000,1.91392,0.72045,2.79793,7.99866,0.962,0.9483,0.9722
4,2,2,1000,1.77566,0.62365,2.49623,7.51203,0.962,0.9483,0.9722
4,2,3,1000,1.78615,0.5337,2.42202,8.71937,0.982,0.9717,0.9886
4,2,4,1000,1.78091,0.524,2.23512,7.84942,0.977,0.9657,0.9846
4,2,5,1000,1.30217,0.4043,1.6834,5.54308,0.985,0.9754,0.9909
4,2,6,1000,1.39737,0.3922,1.6884,6.54366,0.987,0.9779,0.9924
4,2,7,1000,1.19169,0.33865,1.50372,5.83721,0.984,0.9742,0.9901
4,2,8,1000,1.14193,0.3062,1.50362,5.03612,0.993,0.9856,0.9966
4,2,9,1000,1.09022,0.2609,1.1459,5.05284,0.991,0.983,0.9953
4,2,10,1000,0.94815,0.2361,1.0129,4.29329,0.996,0.9898,0.9984
4,2,11,1000,0.80147,0.2137,0.92908,3.52611,0.997,0.9912,0.999
4,2,12,1000,0.87335,0.18225,0.864,4.19075,0.996,0.9898,0.9984
4,2,13,1000,0.86148,0.1738,0.79472,4.18891,0.997,0.9912,0.999
4,2,14,1000,0.80414,0.148,0.71036,4.09895,0.998,0.9927,0.9995
4,2,15,1000,0.70194,0.1324,0.5847,2.68058,0.998,0.9927,0.9995
4,2,16,1000,0.73594,0.1214,0.53275,3.33191,1.0,0.9962,1.0
4,2,17,1000,0.51803,0.0987,0.47466,2.30681,0.997,0.9912,0.999
4,2,18,1000,0.63446,0.0949,0.42344,2.82192,0.999,0.9944,0.9998
4,2,19,1000,0.51638,0.0824,0.402,2.44251,0.999,0.9944,0.9998
4,2,20,1000,0.40635,0.08145,0.3939,1.74773,1.0,0.9962,1.0
4,2,21,1000,0.42174,0.06875,0.31948,2.17894,1.0,0.9962,1.0
4,2,22,1000,0.35407,0.06155,0.26808,1.00007,1.0,0.9962,1.0
4,2,23,1000,0.38135,0.05235,0.27105,1.85181,1.0,0.9962,1.0
4,2,24,1000,0.31815,0.0465,0.20726,2.04534,0.999,0.9944,0.9998
4,2,25,1000,0.28308,0.0435,0.20127,1.38072,1.0,0.9962,1.0
4,2,26,1000,0.22655,0.03585,0.17387,0.89922,1.0,0.9962,1.0
4,2,27,1000,0.17831,0.03355,0.15666,0.87153,1.0,0.9962,1.0
4,2,28,1000,0.17913,0.03035,0.13921,0.75097,1.0,0.9962,1.0
4,2,29,1000,0.14739,0.02425,0.10511,0.46736,1.0,0.9962,1.0
4,2,30,1000,0.1992,0.0227,0.10863,0.5834,1.0,0.9962,1.0
4,3,-15,1000,5.95363,5.2608,9.12858,9.86641,0.308,0.2802,0.3373
4,3,-14,1000,5.60853,5.03605,8.56503,9.84097,0.334,0.3055,0.3638
4,3,-13,1000,5.52064,4.57175,8.4696,9.89735,0.336,0.3074,0.3659
4,3,-12,1000,5.52772,4.57295,8.641,9.81131,0.366,0.3367,0.3963
4,3,-11,1000,5.23178,4.28085,8.51635,9.67103,0.386,0.3563,0.4166
4,3,-10,1000,5.21603,3.89805,8.67039,9.72609,0.432,0.4016,0.4629
4,3,-9,1000,5.3616,4.31785,8.56494,9.82476,0.458,0.4273,0.489
4,3,-8,1000,5.28694,4.07755,8.7396,9.88815,0.476,0.4452,0.507
4,3,-7,1000,5.06916,3.7325,8.57882,9.81284,0.543,0.512,0.5737
4,3,-6,1000,4.89913,3.35375,8.33847,9.89204,0.578,0.5471,0.6083
4,3,-5,1000,4.86884,3.42915,8.15522,9.54269,0.638,0.6077,0.6672
4,3,-4,1000,4.7901,3.5038,8.2245,9.78548,0.621,0.5905,0.6506
4,3,-3,1000,4.48686,3.08905,7.83714,9.86137,0.684,0.6545,0.7121
4,3,-2,1000,4.19066,2.5235,7.4241,9.45137,0.706,0.677,0.7334
4,3,-1,1000,4.14741,2.4889,7.18099,9.79807,0.728,0.6996,0.7547
4,3,0,1000,4.03627,2.1731,7.2087,9.70932,0.781,0.7543,0.8055
4,3,1,1000,3.78316,1.9276,6.85022,9.51897,0.792,0.7657,0.816
4,3,2,1000,3.61566,2.0043,6.51438,9.61634,0.795,0.7689,0.8189
4,3,3,1000,3.40859,1.7052,6.2753,9.03979,0.831,0.8065,0.853
4,3,4,1000,3.45312,1.6679,6.07523,9.3667,0.86,0.8371,0.8801
4,3,5,1000,3.19139,1.36515,5.82919,9.31033,0.88,0.8584,0.8987
4,3,6,1000,3.21689,1.2948,5.77964,9.65905,0.878,0.8563,0.8969
4,3,7,1000,2.75817,1.07915,4.90056,8.6611,0.894,0.8734,0.9116
4,3,8,1000,2.64702,0.9899,4.59606,8.79897,0.907,0.8874,0.9235
4,3,9,1000,2.82321,0.90765,5.06582,9.20325,0.93,0.9125,0.9442
4,3,10,1000,2.57937,0.9332,4.36472,8.79633,0.933,0.9158,0.9469
4,3,11,1000,2.47578,0.72095,4.21445,9.01639,0.944,0.928,0.9566
4,3,12,1000,2.34767,0.65665,3.78164,8.46298,0.95,0.9347,0.9619
4,3,13,1000,2.29987,0.6662,3.79094,8.42207,0.965,0.9517,0.9747
4,3,14,1000,1.95349,0.612,3.28874,7.17641,0.963,0.9494,0.973
4,3,15,1000,1.96743,0.5488,3.2121,8.07794,0.981,0.9705,0.9878
4,3,16,1000,1.73441,0.4281,2.72656,6.63344,0.987,0.9779,0.9924
4,3,17,1000,1.67119,0.4011,2.46352,7.23523,0.983,0.9729,0.9894
4,3,18,1000,1.63023,0.3485,2.31936,7.5145,0.975,0.9634,0.983
4,3,19,1000,1.48089,0.3453,1.9167,6.97091,0.987,0.9779,0.9924
4,3,20,1000,1.39937,0.2767,1.64918,6.22743,0.983,0.9729,0.9894
4,3,21,1000,1.29498,0.2675,1.66844,5.37303,0.989,0.9804,0.9938
4,3,22,1000,1.22408,0.2195,1.52786,5.62751,0.995,0.9883,0.9979
4,3,23,1000,1.07445,0.20345,1.31623,4.53508,0.992,0.9843,0.9959
4,3,24,1000,1.08201,0.17135,1.32175,4.93568,0.996,0.9898,0.9984
4,3,25,1000,0.90343,0.1828,1.07816,3.98146,0.999,0.9944,0.9998
4,3,26,1000,0.82961,0.1469,0.91736,3.54471,0.999,0.9944,0.9998
4,3,27,1000,0.84988,0.1464,0.94676,3.6638,0.999,0.9944,0.9998
4,3,28,1000,0.73389,0.1082,0.79978,2.9374,0.999,0.9944,0.9998
4,3,29,1000,0.66752,0.1086,0.7983,3.02448,0.999,0.9944,0.9998
4,3,30,1000,0.49229,0.0939,0.61688,2.30043,0.998,0.9927,0.9995
6,1,-15,1000,5.166,3.9319,8.66052,9.94983,0.393,0.3632,0.4236
6,1,-14,1000,4.79085,3.5835,8.1379,9.76362,0.533,0.502,0.5637
6,1,-13,1000,4.3585,3.0138,7.36068,9.61928,0.637,0.6067,0.6662
6,1,-12,1000,4.39373,2.8864,7.74362,9.68667,0.782,0.7554,0.8065
6,1,-11,1000,3.92896,2.5568,6.74444,9.72531,0.857,0.8339,0.8773
6,1,-10,1000,3.40332,1.9024,5.77773,9.23625,0.924,0.9059,0.9389
6,1,-9,1000,2.86263,1.6236,4.83106,8.46158,0.967,0.954,0.9764
6,1,-8,1000,2.55306,1.3418,4.3441,7.76152,0.987,0.9779,0.9924
6,1,-7,1000,2.07556,1.1612,3.30812,6.77957,0.989,0.9804,0.9938
6,1,-6,1000,1.75536,0.971,2.84052,5.53482,0.992,0.9843,0.9959
6,1,-5,1000,1.63701,0.8272,2.40756,5.44096,0.995,0.9883,0.9979
6,1,-4,1000,1.39158,0.6932,2.09523,4.75524,0.998,0.9927,0.9995
6,1,-3,1000,1.28483,0.5961,1.9128,4.37423,0.999,0.9944,0.9998
6,1,-2,1000,1.09948,0.5089,1.60396,3.99102,1.0,0.9962,1.0
6,1,-1,1000,0.90616,0.44315,1.32194,3.26667,1.0,0.9962,1.0
6,1,0,1000,0.77977,0.3809,1.14235,2.82218,1.0,0.9962,1.0
6,1,1,1000,0.67688,0.3197,1.07561,2.28028,1.0,0.9962,1.0
6,1,2,1000,0.60248,0.31485,0.91288,2.06988,1.0,0.9962,1.0
6,1,3,1000,0.55669,0.25955,0.78417,1.92352,1.0,0.9962,1.0
6,1,4,1000,0.48853,0.22265,0.73156,1.84075,1.0,0.9962,1.0
6,1,5,1000,0.43919,0.2178,0.63192,1.64358,1.0,0.9962,1.0
6,1,6,1000,0.40961,0.19555,0.57636,1.3768,1.0,0.9962,1.0
6,1,7,1000,0.34062,0.16865,0.49054,1.35803,1.0,0.9962,1.0
6,1,8,1000,0.31281,0.14735,0.45774,1.15307,1.0,0.9962,1.0
6,1,9,1000,0.25901,0.1334,0.38303,0.9549,1.0,0.9962,1.0
6,1,10,1000,0.24156,0.1144,0.35422,0.8492,1.0,0.9962,1.0
6,1,11,1000,0.20668,0.10305,0.29492,0.78519,1.0,0.9962,1.0
6,1,12,1000,0.19498,0.09115,0.27714,0.67422,1.0,0.9962,1.0
6,1,13,1000,0.16336,0.0792,0.24871,0.60659,1.0,0.9962,1.0
6,1,14,1000,0.14771,0.07255,0.21782,0.55282,1.0,0.9962,1.0
6,1,15,1000,0.12413,0.0638,0.19426,0.41448,1.0,0.9962,1.0
6,1,16,1000,0.11975,0.05655,0.18427,0.41757,1.0,0.9962,1.0
6,1,17,1000,0.10597,0.04775,0.15094,0.37636,1.0,0.9962,1.0
6,1,18,1000,0.08987,0.0446,0.13619,0.30622,1.0,0.9962,1.0
6,1,19,1000,0.08396,0.03985,0.12717,0.29027,1.0,0.9962,1.0
6,1,20,1000,0.07446,0.0368,0.11004,0.26432,1.0,0.9962,1.0
6,1,21,1000,0.0667,0.03185,0.09714,0.21996,1.0,0.9962,1.0
6,1,22,1000,0.05666,0.02905,0.08694,0.18931,1.0,0.9962,1.0
6,1,23,1000,0.05288,0.02555,0.0798,0.17224,1.0,0.9962,1.0
6,1,24,1000,0.04497,0.0233,0.06502,0.16402,1.0,0.9962,1.0
6,1,25,1000,0.03987,0.01995,0.06276,0.13778,1.0,0.9962,1.0
6,1,26,1000,0.03841,0.0164,0.05751,0.14068,1.0,0.9962,1.0
6,1,27,1000,0.03328,0.01635,0.05165,0.11481,1.0,0.9962,1.0
6,1,28,1000,0.02988,0.0148,0.04201,0.10972,1.0,0.9962,1.0
6,1,29,1000,0.02639,0.0136,0.0393,0.096,1.0,0.9962,1.0
6,1,30,1000,0.02205,0.011,0.03392,0.07681,1.0,0.9962,1.0
6,2,-15,1000,5.23522,4.1802,8.4563,9.8041,0.491,0.4601,0.522
6,2,-14,1000,4.85001,3.5887,8.13172,9.86954,0.548,0.517,0.5786
6,2,-13,1000,4.63074,3.2796,7.78545,9.60221,0.666,0.6362,0.6945
6,2,-12,1000,4.43683,2.90605,7.7856,9.74211,0.744,0.7161,0.7701
6,2,-11,1000,3.97152,2.5091,6.77514,9.3759,0.833,0.8086,0.8548
6,2,-10,1000,3.57888,2.0351,6.12106,9.32213,0.897,0.8766,0.9143
6,2,-9,1000,3.10772,1.7299,5.36958,8.67172,0.927,0.9092,0.9415
6,2,-8,1000,2.82377,1.3916,4.64206,8.73944,0.947,0.9313,0.9593
6,2,-7,1000,2.36736,1.2851,3.74036,7.73373,0.953,0.9381,0.9645
6,2,-6,1000,2.22577,0.9557,3.39764,8.03805,0.972,0.9598,0.9806
6,2,-5,1000,2.01211,0.9124,3.00954,7.26609,0.977,0.9657,0.9846
6,2,-4,1000,1.78983,0.7832,2.6382,6.72388,0.981,0.9705,0.9878
6,2,-3,1000,1.66653,0.6625,2.46612,7.42988,0.984,0.9742,0.9901
6,2,-2,1000,1.4688,0.5274,2.03364,6.21783,0.989,0.9804,0.9938
6,2,-1,1000,1.19574,0.4618,1.6995,4.80957,0.989,0.9804,0.9938
6,2,0,1000,1.20283,0.4449,1.50631,5.14794,0.992,0.9843,0.9959
6,2,1,1000,0.92668,0.3887,1.24636,3.68208,0.995,0.9883,0.9979
6,2,2,1000,0.90939,0.3223,1.11086,4.07637,0.995,0.9883,0.9979
6,2,3,1000,0.92081,0.2819,1.00452,3.62326,0.997,0.9912,0.999
6,2,4,1000,0.8525,0.2648,1.02844,3.48103,0.995,0.9883,0.9979
6,2,5,1000,0.52475,0.217,0.69772,2.18484,0.997,0.9912,0.999
6,2,6,1000,0.76906,0.1948,0.72158,3.82036,0.999,0.9944,0.9998
6,2,7,1000,0.65355,0.1851,0.64848,2.77298,0.999,0.9944,0.9998
6,2,8,1000,0.61725,0.15565,0.55392,2.58286,1.0,0.9962,1.0
6,2,9,1000,0.34777,0.14085,0.4726,1.29746,0.998,0.9927,0.9995
6,2,10,1000,0.49647,0.1251,0.47667,2.50807,1.0,0.9962,1.0
6,2,11,1000,0.45379,0.1168,0.4222,2.31128,0.999,0.9944,0.9998
6,2,12,1000,0.34762,0.09765,0.39258,1.23157,1.0,0.9962,1.0
6,2,13,1000,0.33974,0.08575,0.3315,1.39251,1.0,0.9962,1.0
6,2,14,1000,0.37626,0.0768,0.29923,1.83426,1.0,0.9962,1.0
6,2,15,1000,0.24417,0.066,0.25104,0.99783,0.999,0.9944,0.9998
6,2,16,1000,0.19579,0.065,0.2382,0.83777,1.0,0.9962,1.0
6,2,17,1000,0.25652,0.0591,0.20306,1.09375,0.999,0.9944,0.9998
6,2,18,1000,0.16328,0.05225,0.1759,0.53198,1.0,0.9962,1.0
6,2,19,1000,0.23753,0.04575,0.15861,0.66565,1.0,0.9962,1.0
6,2,20,1000,0.14727,0.03835,0.15919,0.65963,1.0,0.9962,1.0
6,2,21,1000,0.11696,0.03505,0.12589,0.53124,1.0,0.9962,1.0
6,2,22,1000,0.10664,0.0296,0.12293,0.45154,1.0,0.9962,1.0
6,2,23,1000,0.12965,0.0291,0.10022,0.44661,1.0,0.9962,1.0
6,2,24,1000,0.09455,0.0248,0.09132,0.36195,1.0,0.9962,1.0
6,2,25,1000,0.07201,0.02285,0.07354,0.2711,1.0,0.9962,1.0
6,2,26,1000,0.0641,0.0197,0.07072,0.19202,1.0,0.9962,1.0
6,2,27,1000,0.08196,0.0176,0.0585,0.24336,1.0,0.9962,1.0
6,2,28,1000,0.05438,0.0144,0.04961,0.20571,1.0,0.9962,1.0
6,2,29,1000,0.05238,0.0144,0.05341,0.19731,1.0,0.9962,1.0
6,2,30,1000,0.05071,0.0127,0.04851,0.25144,1.0,0.9962,1.0
6,3,-15,1000,5.3547,4.1683,8.69992,9.86322,0.473,0.4422,0.504
6,3,-14,1000,5.07022,3.9509,8.4378,9.78721,0.531,0.5,0.5618
6,3,-13,1000,4.91602,3.7428,8.32234,9.89008,0.569,0.5381,0.5994
6,3,-12,1000,4.62865,3.359,8.2173,9.83675,0.649,0.6189,0.678
6,3,-11,1000,4.42889,3.0717,7.70016,9.81583,0.707,0.678,0.7344
6,3,-10,1000,4.05308,2.4856,7.20328,9.52193,0.762,0.7346,0.7874
6,3,-9,1000,4.05763,2.4263,7.34584,9.52509,0.815,0.7897,0.8378
6,3,-8,1000,3.47146,1.9287,5.8627,9.30679,0.877,0.8552,0.8959
6,3,-7,1000,3.41022,1.6978,6.10792,9.54092,0.859,0.8361,0.8792
6,3,-6,1000,3.03869,1.3939,5.29194,9.27542,0.897,0.8766,0.9143
6,3,-5,1000,2.66757,1.1898,4.6226,8.82553,0.911,0.8917,0.9271
6,3,-4,1000,2.67698,1.0948,4.467,9.4138,0.921,0.9026,0.9362
6,3,-3,1000,2.64657,1.0074,4.4638,8.79676,0.933,0.9158,0.9469
6,3,-2,1000,2.23933,0.8628,3.5638,8.55013,0.945,0.9291,0.9575
6,3,-1,1000,2.12032,0.71405,3.22918,8.17151,0.952,0.9369,0.9636
6,3,0,1000,2.14304,0.6733,3.19808,7.79377,0.963,0.9494,0.973
6,3,1,1000,1.88018,0.5434,2.66315,7.92952,0.966,0.9529,0.9756
6,3,2,1000,1.88812,0.476,2.57798,7.94193,0.975,0.9634,0.983
6,3,3,1000,1.73011,0.4553,2.46063,7.25821,0.972,0.9598,0.9806
6,3,4,1000,1.55207,0.4168,2.01487,6.83961,0.984,0.9742,0.9901
6,3,5,1000,1.47279,0.3525,2.01376,6.78257,0.983,0.9729,0.9894
6,3,6,1000,1.31962,0.3152,1.64726,6.24562,0.987,0.9779,0.9924
6,3,7,1000,1.2143,0.294,1.41611,5.92797,0.992,0.9843,0.9959
6,3,8,1000,1.31472,0.2523,1.47395,6.14491,0.996,0.9898,0.9984
6,3,9,1000,0.99233,0.2032,1.18148,4.60858,0.997,0.9912,0.999
6,3,10,1000,0.98229,0.1977,1.1879,4.1018,0.997,0.9912,0.999
6,3,11,1000,0.88573,0.1729,0.8886,4.3315,0.996,0.9898,0.9984
6,3,12,1000,0.97315,0.1586,0.91912,4.55716,0.999,0.9944,0.9998
6,3,13,1000,0.71361,0.1371,0.77952,3.36841,0.998,0.9927,0.9995
6,3,14,1000,0.71891,0.1214,0.66304,3.28148,0.997,0.9912,0.999
6,3,15,1000,0.47607,0.1107,0.58604,1.8993,1.0,0.9962,1.0
6,3,16,1000,0.45162,0.0956,0.48226,2.01816,0.997,0.9912,0.999
6,3,17,1000,0.53065,0.0962,0.4993,2.01996,0.999,0.9944,0.9998
6,3,18,1000,0.42477,0.0787,0.43804,1.94677,1.0,0.9962,1.0
6,3,19,1000,0.42421,0.07135,0.41028,1.79028,1.0,0.9962,1.0
6,3,20,1000,0.32072,0.0662,0.32528,1.38243,1.0,0.9962,1.0
6,3,21,1000,0.31274,0.05785,0.30234,1.28632,1.0,0.9962,1.0
6,3,22,1000,0.32525,0.04505,0.26092,0.98023,1.0,0.9962,1.0
6,3,23,1000,0.32615,0.04245,0.22396,0.87795,1.0,0.9962,1.0
6,3,24,1000,0.28581,0.04065,0.23876,1.06378,1.0,0.9962,1.0
6,3,25,1000,0.17855,0.03865,0.2188,0.79747,1.0,0.9962,1.0
6,3,26,1000,0.15475,0.03175,0.17677,0.55563,1.0,0.9962,1.0
6,3,27,1000,0.16722,0.0271,0.13799,0.62798,1.0,0.9962,1.0
6,3,28,1000,0.14703,0.02755,0.15259,0.64499,1.0,0.9962,1.0
6,3,29,1000,0.12505,0.02325,0.12764,0.55175,1.0,0.9962,1.0
6,3,30,1000,0.12138,0.02,0.12194,0.51823,1.0,0.9962,1.0
8,1,-15,1000,4.6587,3.32515,7.88245,9.5451,0.506,0.475,0.5369
8,1,-14,1000,4.44882,3.03595,7.60545,9.58725,0.64,0.6098,0.6692
8,1,-13,1000,4.28489,2.8346,7.397,9.83558,0.761,0.7336,0.7864
8,1,-12,1000,3.56915,2.1005,6.16818,9.31546,0.884,0.8627,0.9024
8,1,-11,1000,2.94296,1.66825,4.90985,8.39819,0.94,0.9235,0.9531
8,1,-10,1000,2.6385,1.4544,4.48798,8.03091,0.977,0.9657,0.9846
8,1,-9,1000,2.18694,1.17235,3.38812,7.3328,0.988,0.9791,0.9931
8,1,-8,1000,1.81681,0.92565,2.80969,6.51962,0.992,0.9843,0.9959
8,1,-7,1000,1.6829,0.7935,2.64995,6.02544,0.994,0.987,0.9972
8,1,-6,1000,1.27868,0.6631,1.95836,4.24184,0.999,0.9944,0.9998
8,1,-5,1000,1.14655,0.5463,1.64794,4.24531,0.999,0.9944,0.9998
8,1,-4,1000,1.04175,0.48895,1.5281,4.03492,1.0,0.9962,1.0
8,1,-3,1000,0.8316,0.4151,1.25266,2.78219,1.0,0.9962,1.0
8,1,-2,1000,0.81394,0.3653,1.17637,2.76263,1.0,0.9962,1.0
8,1,-1,1000,0.60977,0.3158,0.92654,2.04265,1.0,0.9962,1.0
8,1,0,1000,0.56979,0.27935,0.84827,2.09475,1.0,0.9962,1.0
8,1,1,1000,0.49537,0.2491,0.76075,1.74804,1.0,0.9962,1.0
8,1,2,1000,0.42074,0.2083,0.63401,1.45241,1.0,0.9962,1.0
8,1,3,1000,0.37839,0.18505,0.53736,1.3687,1.0,0.9962,1.0
8,1,4,1000,0.31684,0.16,0.45915,1.15473,1.0,0.9962,1.0
8,1,5,1000,0.3031,0.1493,0.43998,1.07972,1.0,0.9962,1.0
8,1,6,1000,0.24981,0.12545,0.36324,0.86919,1.0,0.9962,1.0
8,1,7,1000,0.25033,0.1163,0.36805,0.97743,1.0,0.9962,1.0
8,1,8,1000,0.21688,0.10015,0.29514,0.861,1.0,0.9962,1.0
8,1,9,1000,0.17069,0.08835,0.25223,0.59659,1.0,0.9962,1.0
8,1,10,1000,0.16589,0.08405,0.24654,0.58462,1.0,0.9962,1.0
8,1,11,1000,0.14947,0.0762,0.21814,0.5224,1.0,0.9962,1.0
8,1,12,1000,0.13898,0.0653,0.21441,0.50552,1.0,0.9962,1.0
8,1,13,1000,0.11656,0.05825,0.17061,0.40732,1.0,0.9962,1.0
8,1,14,1000,0.10765,0.054,0.16254,0.38028,1.0,0.9962,1.0
8,1,15,1000,0.09194,0.04485,0.14372,0.30402,1.0,0.9962,1.0
8,1,16,1000,0.08487,0.04185,0.1325,0.31662,1.0,0.9962,1.0
8,1,17,1000,0.07296,0.0355,0.11094,0.25436,1.0,0.9962,1.0
8,1,18,1000,0.06474,0.03225,0.09829,0.22816,1.0,0.9962,1.0
8,1,19,1000,0.06223,0.02985,0.09483,0.2264,1.0,0.9962,1.0
8,1,20,1000,0.05324,0.02575,0.07393,0.20087,1.0,0.9962,1.0
8,1,21,1000,0.04644,0.02235,0.0665,0.15763,1.0,0.9962,1.0
8,1,22,1000,0.03969,0.01925,0.05893,0.1293,1.0,0.9962,1.0
8,1,23,1000,0.03535,0.0165,0.05195,0.12481,1.0,0.9962,1.0
8,1,24,1000,0.03441,0.0171,0.0526,0.11631,1.0,0.9962,1.0
8,1,25,1000,0.02885,0.0141,0.04472,0.108,1.0,0.9962,1.0
8,1,26,1000,0.02491,0.0122,0.03802,0.08951,1.0,0.9962,1.0
8,1,27,1000,0.02558,0.0126,0.0374,0.09197,1.0,0.9962,1.0
8,1,28,1000,0.02046,0.0094,0.03135,0.0734,1.0,0.9962,1.0
8,1,29,1000,0.01966,0.00955,0.02741,0.07615,1.0,0.9962,1.0
8,1,30,1000,0.01675,0.00815,0.02462,0.06314,1.0,0.9962,1.0
8,2,-15,1000,4.71866,3.2999,8.20416,9.71018,0.577,0.5461,0.6073
8,2,-14,1000,4.34221,3.13505,7.46677,9.74278,0.66,0.6301,0.6887
8,2,-13,1000,3.99203,2.4954,6.7939,9.48644,0.761,0.7336,0.7864
8,2,-12,1000,3.60565,2.208,6.18056,9.44052,0.843,0.8191,0.8642
